version,epsilon,k,technique,name,stages,ransomware_entities
19.2,0.1,1,T1020,Automated Exfiltration,exfiltration,0
19.2,0.1,1,T1059.012,Hypervisor CLI,execution,2
19.2,0.1,1,T1534,Internal Spearphishing,lateral-movement,0
19.2,0.1,1,T1568.001,Fast Flux DNS,command-and-control,1
19.2,0.1,1,T1568.003,DNS Calculation,command-and-control,0
19.2,0.1,1,T1665,Hide Infrastructure,command-and-control,1
19.2,0.05,1,T1020,Automated Exfiltration,exfiltration,0
19.2,0.05,1,T1056,Input Capture,credential-access+collection,1
19.2,0.05,1,T1056.001,Keylogging,credential-access+collection,8
19.2,0.05,1,T1056.004,Credential API Hooking,credential-access+collection,0
19.2,0.05,1,T1059.012,Hypervisor CLI,execution,2
19.2,0.05,1,T1098.007,Additional Local or Domain Groups,persistence+privilege-escalation,3
19.2,0.05,1,T1134.004,Parent PID Spoofing,privilege-escalation+defense-evasion,1
19.2,0.05,1,T1534,Internal Spearphishing,lateral-movement,0
19.2,0.05,1,T1546.001,Change Default File Association,persistence+privilege-escalation,0
19.2,0.05,1,T1546.005,Trap,persistence+privilege-escalation,0
19.2,0.05,1,T1546.007,Netsh Helper DLL,persistence+privilege-escalation,0
19.2,0.05,1,T1546.012,Image File Execution Options Injection,persistence+privilege-escalation,0
19.2,0.05,1,T1546.015,Component Object Model Hijacking,persistence+privilege-escalation,0
19.2,0.05,1,T1546.016,Installer Packages,persistence+privilege-escalation,1
19.2,0.05,1,T1546.017,Udev Rules,persistence+privilege-escalation,0
19.2,0.05,1,T1546.018,Python Startup Hooks,persistence+privilege-escalation,0
19.2,0.05,1,T1547,Boot or Logon Autostart Execution,persistence+privilege-escalation,0
19.2,0.05,1,T1547.001,Registry Run Keys / Startup Folder,persistence+privilege-escalation,22
19.2,0.05,1,T1547.010,Port Monitors,persistence+privilege-escalation,0
19.2,0.05,1,T1547.014,Active Setup,persistence+privilege-escalation,0
19.2,0.05,1,T1547.015,Login Items,persistence+privilege-escalation,0
19.2,0.05,1,T1555.002,Securityd Memory,credential-access,0
19.2,0.05,1,T1568.001,Fast Flux DNS,command-and-control,1
19.2,0.05,1,T1568.003,DNS Calculation,command-and-control,0
19.2,0.05,1,T1665,Hide Infrastructure,command-and-control,1
19.2,0.05,1,T1668,Exclusive Control,persistence,0
19.2,0.05,2,T1020,Automated Exfiltration,exfiltration,0
19.2,0.05,2,T1059.012,Hypervisor CLI,execution,2
19.2,0.05,2,T1534,Internal Spearphishing,lateral-movement,0
19.2,0.05,2,T1568.001,Fast Flux DNS,command-and-control,1
19.2,0.05,2,T1568.003,DNS Calculation,command-and-control,0
19.2,0.05,2,T1665,Hide Infrastructure,command-and-control,1
