degradation_source,epsilon,k,empty_cat_worst,all_certifies,optimal_size,optimal_computed,greedy_cost,coverage_cost,random_cost,greedy_gap
assumed,0.1,1,0.449062963,True,2,True,2,3,9,0
assumed,0.1,2,0.2245314815,True,1,True,1,2,4,0
assumed,0.1,3,0.1496876543,True,1,True,1,1,1,0
assumed,0.1,4,0.09885033777,True,0,True,0,0,0,0
assumed,0.05,1,0.449062963,True,3,True,4,6,17,1
assumed,0.05,2,0.2245314815,True,2,True,2,3,9,0
assumed,0.05,3,0.1496876543,True,1,True,1,2,9,0
assumed,0.05,4,0.09885033777,True,1,True,1,2,2,0
assumed,0.01,1,0.449062963,True,-1,False,7,10,27,-1
assumed,0.01,2,0.2245314815,True,-1,False,6,9,22,-1
assumed,0.01,3,0.1496876543,True,-1,False,5,7,20,-1
assumed,0.01,4,0.09885033777,True,4,True,4,7,18,0
cipher_gamma1,0.1,1,0.3302322364,True,1,True,1,3,9,0
cipher_gamma1,0.1,2,0.1651161182,True,1,True,1,1,1,0
cipher_gamma1,0.1,3,0.1100774121,True,1,True,1,1,1,0
cipher_gamma1,0.1,4,0.06964015968,True,0,True,0,0,0,0
cipher_gamma1,0.05,1,0.3302322364,True,3,True,3,5,12,0
cipher_gamma1,0.05,2,0.1651161182,True,1,True,1,3,9,0
cipher_gamma1,0.05,3,0.1100774121,True,1,True,1,2,4,0
cipher_gamma1,0.05,4,0.06964015968,True,1,True,1,1,1,0
cipher_gamma1,0.01,1,0.3302322364,True,-1,False,7,10,24,-1
cipher_gamma1,0.01,2,0.1651161182,True,-1,False,5,8,21,-1
cipher_gamma1,0.01,3,0.1100774121,True,4,True,4,7,18,0
cipher_gamma1,0.01,4,0.06964015968,True,3,True,3,5,12,0
